財務データのあるNPO法人 収入ランキング（2324団体）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
順位,法人名,"総収入
(百万円)",ステージ,"寄付+会費
(百万円)","寄付+会費比
(%)","受取寄附金
(百万円)","受取会費
(百万円)","受取助成金等
(百万円)","事業収益
(百万円)","経常費用
(百万円)",有給職員数,事業年度,認定状況,団体所在地(都道府県),活動分野
108,からまつ,225.2,1億～,0.1,0.0,0.0,0.1,4.9,220.2,213.8,,2024,,東京都,保健・医療・福祉、社会教育、まちづくり、環境の保全、災害救援、地域安全、男女共同参画、子どもの健全育成、情報化社会、職業能力・雇用機会、消費者の保護、NPO支援
109,せせらぎ,223.3,1億～,0.1,0.0,0.0,0.1,1.0,217.5,209.0,,2024,○,鹿児島県,保健・医療・福祉、男女共同参画、子どもの健全育成
110,特定非営利活動法人日本救援衣料センター,222.5,1億～,222.5,100.0,221.6,0.9,0.0,0.0,229.2,,2024,○,大阪市,国際協力・交流
111,特定非営利活動法人　心澄,222.1,1億～,3.0,1.3,3.0,0.0,1.2,215.1,0.0,,2024,○,長崎県,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会
112,認定NPO法人フリースペース・うぇるびー,219.3,1億～,2.4,1.1,1.7,0.7,3.2,213.0,216.6,,2023,○,静岡県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、人権の擁護・平和、国際協力・交流、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、NPO支援
113,特定非営利活動法人　かけはし,218.6,1億～,5.8,2.7,5.5,0.3,1.0,211.7,236.2,,2024,○,群馬県,保健・医療・福祉、社会教育
114,特定非営利活動法人京田辺シュタイナー学校,218.2,1億～,39.8,18.3,12.7,27.1,0.8,177.5,216.8,,2024,○,京都府,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成
115,青少年の自立を支える会シオン,217.7,1億～,3.1,1.4,2.9,0.2,6.5,191.0,195.1,,2024,○,茨城県,子どもの健全育成
116,１００万人のふるさと回帰・循環運動推進・支援センター,216.8,1億～,24.2,11.1,13.6,10.5,19.3,173.1,209.5,,2014,,東京都,まちづくり、観光、農山漁村・中山間地域、環境の保全、経済活動の活性化、職業能力・雇用機会
117,ＮＰＯ法人発達わんぱく会,213.6,1億～,25.1,11.8,25.0,0.2,1.2,0.0,205.8,,2024,○,千葉県,保健・医療・福祉、社会教育、まちづくり、人権の擁護・平和、子どもの健全育成、職業能力・雇用機会、NPO支援
