財務データのあるNPO法人 収入ランキング（2324団体）,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
順位,法人名,"総収入
(百万円)",ステージ,"寄付+会費
(百万円)","寄付+会費比
(%)","受取寄附金
(百万円)","受取会費
(百万円)","受取助成金等
(百万円)","事業収益
(百万円)","経常費用
(百万円)",有給職員数,事業年度,認定状況,団体所在地(都道府県),活動分野
1754,花巻文化村協議会,2.7,1千万未満,0.1,3.3,0.0,0.1,0.3,2.3,4.6,2,2021,,岩手県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
1755,認定NPO法人日本ブルキナファソ友好協会,2.6,1千万未満,0.9,33.7,0.4,0.4,0.0,0.4,11.4,3,2022,○,千葉県,国際協力・交流
1756,特定非営利活動法人　賀川豊彦記念・鳴門友愛会,2.6,1千万未満,2.2,81.8,1.4,0.8,0.0,0.5,2.5,,2024,○,徳島県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、環境の保全、災害救援、人権の擁護・平和、国際協力・交流、子どもの健全育成
1757,MERI Japan,2.6,1千万未満,0.3,10.6,0.0,0.3,0.0,2.3,1.8,3,2020,,名古屋市,保健・医療・福祉、科学技術、消費者の保護
1758,特定非営利活動法人　ひまわりサービス,2.6,1千万未満,0.1,5.1,0.0,0.1,0.0,2.5,2.4,,2018,,山形県,保健・医療・福祉、社会教育、まちづくり、NPO支援
1759,特定非営利活動法人水泳ＮＰＯ,2.6,1千万未満,2.6,100.0,0.0,2.6,0.0,0.0,5.7,4,2017,,札幌市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成
1760,特定非営利活動法人フードバンク浜っ子南,2.6,1千万未満,0.9,34.2,0.7,0.1,0.9,0.0,1.7,0,2024,,横浜市,保健・医療・福祉、まちづくり、男女共同参画、子どもの健全育成
1761,特定非営利活動法人　放射線医療国際協力推進機構,2.6,1千万未満,2.3,88.9,2.3,0.0,0.0,0.3,5.4,,2024,○,群馬県,保健・医療・福祉、学術・文化・芸術・スポーツ、国際協力・交流、情報化社会、科学技術、職業能力・雇用機会、NPO支援
1762,人生と健康の縁結び,2.6,1千万未満,0.4,15.0,0.0,0.4,0.0,2.2,0.0,0,2021,,名古屋市,保健・医療・福祉、社会教育、まちづくり、環境の保全、地域安全、子どもの健全育成、情報化社会、NPO支援
1763,特定非営利活動法人キャズ,2.6,1千万未満,0.1,5.0,0.0,0.1,0.2,1.4,2.2,1,2025,,大阪市,学術・文化・芸術・スポーツ
1764,ＮＰＯ法人かほくスポーツクラブ,2.5,1千万未満,0.2,6.6,0.1,0.1,0.3,1.3,3.5,0,2015,,鳥取県,社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、消費者の保護
1765,特定非営利活動法人グローバル・シップスこうべ,2.5,1千万未満,0.1,4.2,0.1,0.0,2.4,0.0,2.5,0,2016,,兵庫県,保健・医療・福祉、社会教育、人権の擁護・平和、男女共同参画、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、NPO支援
1766,特定非営利活動法人　ＤＮＡ鑑定学会,2.5,1千万未満,2.5,100.0,2.5,0.0,0.0,0.0,1.8,,2023,○,横浜市,情報化社会、科学技術、経済活動の活性化、消費者の保護
1767,特定非営利活動法人わかくさ,2.5,1千万未満,2.5,98.7,2.2,0.3,0.0,0.0,2.1,,2024,○,大阪市,保健・医療・福祉、NPO支援
1768,スペシャルオリンピックス日本・岩手,2.5,1千万未満,2.4,95.7,0.3,2.1,0.0,0.0,2.9,,2024,○,岩手県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、国際協力・交流、子どもの健全育成、NPO支援
1769,科学的根拠に基づく健康寿命を伸ばす会,2.5,1千万未満,1.9,74.0,1.8,0.1,0.0,0.7,0.0,,2024,○,長野県,保健・医療・福祉、国際協力・交流、科学技術、経済活動の活性化
1770,特定非営利活動法人かめおかアッシー,2.5,1千万未満,0.2,7.8,0.0,0.2,0.0,2.2,0.0,10,2018,,京都府,保健・医療・福祉、まちづくり、地域安全、NPO支援
1771,特定非営利活動法人　あいちサポートセンター未来,2.5,1千万未満,0.1,2.0,0.0,0.0,0.2,2.2,2.5,,2017,,愛知県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、人権の擁護・平和、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、NPO支援
1772,日本点字技能師協会,2.5,1千万未満,1.3,51.5,0.0,1.3,0.1,1.1,2.6,,2024,,東京都,保健・医療・福祉、社会教育、まちづくり
1773,特定非営利活動法人徳育空手道を奨める会,2.4,1千万未満,0.6,25.6,0.0,0.6,0.0,1.8,2.2,,2024,○,大阪市,社会教育、学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、NPO支援
1774,特定非営利活動法人文化ボランティア　とびうめの会,2.4,1千万未満,0.2,8.4,0.1,0.1,0.0,2.2,2.1,0,2018,,福岡市,学術・文化・芸術・スポーツ
1775,乳がん患者友の会きらら,2.4,1千万未満,2.4,99.7,2.4,0.0,0.0,0.0,2.8,,2025,○,広島市,保健・医療・福祉
1776,特定非営利活動法人　奈良国際友好交流協会　Nakamaro,2.4,1千万未満,0.2,9.8,0.0,0.2,0.1,1.6,2.2,0,2018,,奈良県,保健・医療・福祉、学術・文化・芸術・スポーツ、国際協力・交流
1777,特定非営利活動法人チャイルドラインほっかいどう,2.4,1千万未満,1.6,66.7,1.0,0.6,0.7,0.2,3.0,,2024,○,札幌市,子どもの健全育成
1778,健康とコミュニティを支援するなるコミ,2.4,1千万未満,0.2,7.9,0.2,0.0,1.0,1.2,2.4,,2024,○,和歌山県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
1779,ファミリーリングあゆむ,2.4,1千万未満,0.2,6.3,0.0,0.1,0.0,2.2,2.3,,2017,,岡山県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、子どもの健全育成、NPO支援
1780,特定非営利活動法人　奈良県不動産コンサルティング協会,2.4,1千万未満,2.2,90.8,0.1,2.0,0.1,0.0,1.0,,2017,,奈良県,まちづくり、環境の保全、NPO支援
1781,特定非営利活動法人ユーズ宝島,2.4,1千万未満,0.0,0.1,0.0,0.0,0.0,1.1,2.8,3,2018,,兵庫県,環境の保全、国際協力・交流、職業能力・雇用機会
1782,グリーフプラザともに,2.4,1千万未満,1.0,40.6,0.6,0.4,1.4,0.0,1.9,,2020,,名古屋市,保健・医療・福祉、社会教育、まちづくり、地域安全、人権の擁護・平和、子どもの健全育成、NPO支援
1783,豊の国大分人材育成・地域文化交流協会,2.4,1千万未満,1.7,72.5,1.3,0.4,0.6,0.0,2.2,,2018,,大分県,まちづくり、環境の保全、国際協力・交流、男女共同参画、経済活動の活性化、NPO支援
1784,特定非営利活動法人アニモ福祉協会,2.3,1千万未満,0.4,15.6,0.3,0.0,0.0,2.0,0.0,6,2019,,岡山市,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、NPO支援
1785,特定非営利活動法人八尾情報技術支援倶楽部,2.3,1千万未満,0.8,33.9,0.0,0.8,0.0,1.5,2.6,1,2022,,大阪府,まちづくり、情報化社会
1786,子どもの森,2.3,1千万未満,0.2,7.5,0.1,0.0,1.4,0.2,2.3,,2024,○,宮崎県,まちづくり、環境の保全、情報化社会
1787,みらいこどもプロジェクト,2.3,1千万未満,1.6,67.2,1.2,0.4,0.6,0.0,2.7,,2024,○,岩手県,まちづくり、子どもの健全育成
1788,特定非営利活動法人　四季の会,2.3,1千万未満,0.2,10.8,0.0,0.2,0.2,1.9,2.1,,2019,,横浜市,保健・医療・福祉
1789,認定特定非営利活動法人静岡県ライフセービング協会,2.3,1千万未満,0.2,7.6,0.0,0.2,0.0,1.6,2.4,,2024,○,静岡市,社会教育、学術・文化・芸術・スポーツ、環境の保全、地域安全、子どもの健全育成
1790,特定非営利活動法人絆,2.3,1千万未満,0.0,0.3,0.0,0.0,0.0,2.3,2.8,11,2021,,堺市,
1791,特定非営利活動法人まちづくりネットワーク島根,2.3,1千万未満,0.4,17.3,0.1,0.3,0.4,1.5,1.9,,2024,○,島根県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1792,プラチナ美容塾,2.3,1千万未満,0.0,0.6,0.0,0.0,1.0,0.0,1.8,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、男女共同参画、子どもの健全育成、経済活動の活性化、職業能力・雇用機会、NPO支援
1793,特定非営利活動法人市民ファンドゆめの芽,2.3,1千万未満,0.9,39.6,0.9,0.0,1.4,0.0,2.5,,2024,○,相模原市,まちづくり、NPO支援
1794,環境経営学会,2.3,1千万未満,1.9,82.2,0.2,1.6,0.0,0.4,2.8,,unknown,○,東京都,社会教育、環境の保全、NPO支援
1795,しゅわ蔵,2.2,1千万未満,0.0,2.2,0.0,0.0,0.0,2.2,1.5,,2019,,栃木県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、NPO支援
1796,特定非営利活動法人海洋活動クラブシーマック三保,2.2,1千万未満,0.0,1.5,0.0,0.0,2.2,0.0,1.0,,2019,,静岡市,観光、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
1797,特定非営利活動法人カラカネイトトンボを守る会あいあい自然ネットワーク,2.2,1千万未満,0.7,29.7,0.4,0.2,1.5,0.0,3.5,,2024,○,札幌市,環境の保全
1798,特定非営利活動法人西日本少年硬式野球協会,2.2,1千万未満,0.0,0.0,0.0,0.0,1.0,0.0,2.4,,2025,,大阪市,学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
1799,認定ＮＰＯ法人てとてとしっぽ,2.2,1千万未満,1.7,75.2,1.7,0.0,0.0,0.5,2.5,,2024,○,大阪市,保健・医療・福祉、社会教育、まちづくり、NPO支援
1800,NPO法人まるごと,2.2,1千万未満,0.3,14.9,0.3,0.0,0.5,1.4,1.4,0,2016,,大阪府,保健・医療・福祉、まちづくり、環境の保全、人権の擁護・平和、男女共同参画、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、NPO支援
1801,特定非営利活動法人未来の荒川をつくる会,2.2,1千万未満,1.6,74.5,1.3,0.3,0.2,0.3,2.9,,2024,○,山梨県,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、子どもの健全育成、経済活動の活性化
1802,センス　オブ　アース・市民による自然共生パンゲア,2.2,1千万未満,1.3,57.5,1.1,0.2,0.0,0.9,1.4,,2021,,東京都,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、NPO支援
1803,特定非営利活動法人ウォーターフロリデーションファンド,2.2,1千万未満,2.2,99.8,2.1,0.1,0.0,0.0,0.7,,2024,○,京都府,保健・医療・福祉
1804,特定非営利活動法人京都スポーツ・障がい者スポーツ推進協会,2.2,1千万未満,2.2,100.0,1.4,0.8,0.0,0.0,3.2,,2024,○,京都府,保健・医療・福祉、学術・文化・芸術・スポーツ
1805,特定非営利活動法人PAS,2.2,1千万未満,0.8,38.0,0.6,0.2,0.0,1.4,3.4,,2024,○,大阪府,保健・医療・福祉、まちづくり、災害救援、地域安全、職業能力・雇用機会
1806,アフォール,2.2,1千万未満,0.7,30.6,0.6,0.0,1.5,0.0,1.9,0,2021,,東京都,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、男女共同参画、子どもの健全育成、情報化社会、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1807,ＮＰＯ法人回復はどこにでもある,2.2,1千万未満,0.2,9.5,0.0,0.2,0.0,2.0,5.3,2,2016,,東京都,保健・医療・福祉、社会教育、NPO支援
1808,特定非営利活動法人　小さな天文学者の会,2.1,1千万未満,0.7,32.8,0.0,0.7,0.0,1.4,2.0,,2024,,山形県,社会教育、子どもの健全育成
1809,ＮＰＯ法人好きっちゃ北九州,2.1,1千万未満,0.7,34.0,0.6,0.1,0.2,0.0,1.9,,2024,○,北九州市,保健・医療・福祉、社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、環境の保全、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成
1810,NPO法人　キッズアートプロジェクト,2.1,1千万未満,1.6,77.2,1.6,0.0,0.5,0.0,1.1,,2024,○,川崎市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、科学技術
1811,特定非営利活動法人金沢ベースボールクラブ,2.1,1千万未満,0.7,30.9,0.0,0.7,0.4,1.0,1.7,1,2024,,石川県,社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
1812,バージャー病研究所,2.1,1千万未満,1.5,73.0,1.5,0.1,0.0,0.6,1.4,,2024,○,茨城県,保健・医療・福祉、社会教育、国際協力・交流、科学技術
1813,特定非営利活動法人　インド福祉村協会,2.1,1千万未満,2.0,97.4,2.0,0.1,0.0,0.0,3.3,,2024,○,愛知県,保健・医療・福祉、社会教育、国際協力・交流
1814,特定非営利活動法人　コミュナール,2.1,1千万未満,2.1,100.0,1.5,0.5,0.0,0.0,2.5,,2024,○,徳島県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
1815,ＮＰＯ法人おおさかねこネット,2.1,1千万未満,1.0,50.2,0.9,0.2,0.7,0.4,1.5,,2017,,大阪市,社会教育、環境の保全
1816,チャイルドラインとちぎ,2.1,1千万未満,0.9,45.4,0.4,0.5,0.9,0.2,2.3,,2024,○,栃木県,保健・医療・福祉、社会教育、人権の擁護・平和、子どもの健全育成
1817,特定非営利活動法人みやぎスマートアグリ,2.1,1千万未満,0.1,3.8,0.0,0.1,2.0,0.0,2.1,0,2016,,宮城県,保健・医療・福祉、まちづくり、子どもの健全育成、経済活動の活性化、職業能力・雇用機会
1818,ＮＰＯ法人フルル花と福祉の地域応援ネット,2.1,1千万未満,0.3,13.0,0.0,0.3,1.0,0.8,2.0,0,2017,,大阪府,保健・医療・福祉、まちづくり、環境の保全
1819,ＮＰＯ法人災害看護推進会,2.1,1千万未満,0.0,1.5,0.0,0.0,0.0,2.0,1.9,,2024,○,京都市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、災害救援、地域安全、情報化社会、科学技術、NPO支援
1820,特定非営利活動法人日体ボート&アスレチック倶楽部,2.0,1千万未満,0.5,24.7,0.4,0.1,0.5,1.0,2.0,0,2017,,埼玉県,まちづくり、学術・文化・芸術・スポーツ
1821,ＣＯＭＰＡＳ,2.0,1千万未満,0.2,9.5,0.0,0.1,0.0,1.8,1.8,1,2016,,静岡県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1822,特定非営利活動法人　日本カタン協会,2.0,1千万未満,0.8,37.8,0.0,0.8,1.3,0.0,2.1,1,2020,,神奈川県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、国際協力・交流、男女共同参画、子どもの健全育成、NPO支援
1823,特定非営利活動法人  オープンスクールひかりの樹,2.0,1千万未満,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,2020,,横浜市,保健・医療・福祉
1824,Ｅａｒｔｈ＆Ｈｕｍａｎ,2.0,1千万未満,1.2,57.5,1.2,0.0,0.0,0.8,2.1,,unknown,○,東京都,社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、科学技術、NPO支援
1825,特定非営利活動法人キャッチボールクラブ,2.0,1千万未満,0.3,17.6,0.0,0.3,0.0,1.6,2.9,1,2020,,大阪市,社会教育
1826,ＮＰＯ法人北谷美浜まちづくり研究会,2.0,1千万未満,0.0,0.6,0.0,0.0,0.0,2.0,1.7,1,2024,,沖縄県,まちづくり、学術・文化・芸術・スポーツ、環境の保全、地域安全、経済活動の活性化
1827,特定非営利活動法人　奈良市東部エゴマの郷,2.0,1千万未満,0.0,0.3,0.0,0.0,0.0,1.2,1.9,,2019,,奈良県,保健・医療・福祉、まちづくり、農山漁村・中山間地域、環境の保全、経済活動の活性化、職業能力・雇用機会、NPO支援
1828,子どものいのちを守る会,2.0,1千万未満,1.8,89.1,1.4,0.4,0.0,0.2,0.0,2,2015,,東京都,保健・医療・福祉、社会教育、農山漁村・中山間地域、子どもの健全育成、消費者の保護
1829,グリーフサポーターズ,2.0,1千万未満,0.2,9.3,0.1,0.1,0.0,1.8,1.9,3,2011,,鹿児島県,保健・医療・福祉、環境の保全
1830,インラージ岩手,2.0,1千万未満,0.5,24.4,0.5,0.0,0.0,1.5,2.0,0,2017,,岩手県,学術・文化・芸術・スポーツ、子どもの健全育成
1831,特定非営利活動法人まなひろ,2.0,1千万未満,0.0,1.3,0.0,0.0,0.0,1.9,1.7,1,2024,,横浜市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、情報化社会、職業能力・雇用機会、NPO支援
1832,特定非営利活動法人神戸猫ネット,1.9,1千万未満,1.8,92.8,1.2,0.6,0.0,0.1,1.5,0,2024,,神戸市,社会教育、まちづくり、環境の保全
1833,特定非営利活動法人　ＡＩＤＳネットワーク横浜,1.9,1千万未満,0.9,48.9,0.8,0.1,0.3,0.7,1.0,0,2017,○,横浜市,保健・医療・福祉、子どもの健全育成
1834,特定非営利活動法人アミーチあんだんて,1.9,1千万未満,1.3,68.3,1.2,0.1,0.0,0.0,1.9,,2024,○,千葉県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成
1835,エコラ倶楽部,1.9,1千万未満,1.6,84.2,1.2,0.5,0.0,0.3,1.8,0,2017,,長野県,社会教育、まちづくり、環境の保全、子どもの健全育成、経済活動の活性化、NPO支援
1836,遊び・文化ＮＰＯ小金井こらぼ,1.9,1千万未満,0.6,30.0,0.4,0.2,1.0,0.4,2.1,,2021,,東京都,社会教育、まちづくり、学術・文化・芸術・スポーツ、人権の擁護・平和、子どもの健全育成、NPO支援
1837,特定非営利活動法人　「知多から世界へ」,1.9,1千万未満,0.8,40.5,0.5,0.3,0.5,0.7,1.6,,2024,○,愛知県,まちづくり、学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、情報化社会、経済活動の活性化、NPO支援
1838,特定非営利活動法人日越堺友好協会,1.9,1千万未満,1.5,78.4,0.0,1.5,0.0,0.0,3.7,,2024,○,堺市,社会教育、学術・文化・芸術・スポーツ、国際協力・交流、経済活動の活性化
1839,特定非営利活動法人橋梁を未来に生かす技術集団,1.8,1千万未満,0.0,0.3,0.0,0.0,0.0,1.8,3.2,,2020,,千葉県,環境の保全
1840,キツツキネットワーク岩手,1.8,1千万未満,1.7,94.5,0.8,0.9,0.1,0.0,2.9,,2024,○,岩手県,保健・医療・福祉、社会教育、まちづくり、子どもの健全育成、職業能力・雇用機会
1841,おとなのバンド倶楽部,1.8,1千万未満,0.6,31.6,0.1,0.4,0.0,1.2,1.9,,2025,,東京都,保健・医療・福祉、社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、経済活動の活性化、NPO支援
1842,特定非営利活動法人　ダオイン導引養生,1.8,1千万未満,0.0,0.0,0.0,0.0,0.0,0.0,1.8,14,2019,,横浜市,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、国際協力・交流
1843,地域生活支援センターみまさか,1.8,1千万未満,0.0,1.7,0.0,0.0,0.1,1.6,1.7,2,2016,,岡山県,保健・医療・福祉、まちづくり、地域安全、人権の擁護・平和、子どもの健全育成、NPO支援
1844,北上教育文化振興会,1.8,1千万未満,0.0,0.0,0.0,0.0,0.0,0.0,2.2,,2020,,岩手県,社会教育、まちづくり、学術・文化・芸術・スポーツ、地域安全、子どもの健全育成、NPO支援
1845,NPO法人まなざし,1.8,1千万未満,0.1,2.8,0.1,0.0,1.1,0.6,0.0,2,2021,,北九州市,まちづくり、学術・文化・芸術・スポーツ、国際協力・交流、子どもの健全育成、NPO支援
1846,特定非営利活動法人斗南どんどこ健康村,1.8,1千万未満,0.6,32.8,0.4,0.1,1.2,0.0,1.8,0,2017,○,青森県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、地域安全、子どもの健全育成、経済活動の活性化、NPO支援
1847,ももの会,1.8,1千万未満,0.0,0.0,0.0,0.0,0.0,0.0,2.2,,unknown,○,東京都,保健・医療・福祉、まちづくり、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、職業能力・雇用機会、NPO支援
1848,特定非営利活動法人　カンボジア教育支援フロム佐賀,1.8,1千万未満,1.1,59.3,0.6,0.4,0.0,0.2,2.1,,2024,○,佐賀県,国際協力・交流
1849,特定非営利活動法人サイエンス夢協会,1.8,1千万未満,0.1,6.8,0.0,0.1,1.1,0.5,1.5,,2020,,神戸市,社会教育、環境の保全、子どもの健全育成
1850,特定非営利活動法人神戸ミャンマー皆好会,1.8,1千万未満,1.1,60.3,0.7,0.4,0.0,0.3,1.8,,2024,○,神戸市,保健・医療・福祉、環境の保全、国際協力・交流、子どもの健全育成、情報化社会、経済活動の活性化
1851,特定非営利活動法人ぽこ・あ・ぽこ,1.8,1千万未満,0.2,11.1,0.0,0.2,0.0,1.2,2.8,0,2012,,大阪市,保健・医療・福祉、社会教育、情報化社会、NPO支援
1852,さわやか青少年センター,1.8,1千万未満,1.6,90.4,1.3,0.3,0.0,0.0,0.0,,unknown,○,東京都,保健・医療・福祉、社会教育、子どもの健全育成、NPO支援
1853,岩手県青少年自立支援センター「ポランの広場」,1.7,1千万未満,1.3,76.5,1.2,0.1,0.0,0.3,1.9,,2024,○,岩手県,社会教育、子どもの健全育成、職業能力・雇用機会、NPO支援
1854,修復的対話の会,1.7,1千万未満,0.7,41.9,0.6,0.2,0.1,0.9,1.8,,unknown,○,東京都,保健・医療・福祉、社会教育、まちづくり、地域安全、人権の擁護・平和、男女共同参画、子どもの健全育成、消費者の保護、NPO支援
1855,特定非営利活動法人宮城こどもホスピスプロジェクト,1.7,1千万未満,1.4,80.2,1.1,0.3,0.1,0.1,0.5,,2024,○,仙台市,保健・医療・福祉、社会教育、まちづくり、災害救援
1856,特定非営利活動法人　あいおぷらす,1.7,1千万未満,0.8,43.7,0.5,0.2,0.0,0.7,1.2,,2024,○,神奈川県,保健・医療・福祉、社会教育、子どもの健全育成、NPO支援
1857,特定非営利活動法人ＲＩＶＥＲ,1.7,1千万未満,0.0,0.0,0.0,0.0,0.0,1.7,1.7,,2021,,高知県,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、子どもの健全育成、経済活動の活性化、NPO支援
1858,特定非営利活動法人横浜日独協会,1.7,1千万未満,1.4,78.6,0.3,1.1,0.3,0.0,1.2,,2020,○,横浜市,学術・文化・芸術・スポーツ、国際協力・交流
1859,ＡＬＤの未来を考える会,1.7,1千万未満,1.4,83.8,1.0,0.5,0.0,0.3,2.6,,unknown,○,東京都,保健・医療・福祉
1860,ＮＰＯ法人千葉県東葛地区・生と死を考える会（略称：ＮＰＯ法人とうかつ・生と死を考える会）,1.7,1千万未満,1.0,59.0,0.9,0.2,0.0,0.4,1.8,,2024,○,千葉県,保健・医療・福祉、社会教育
1861,日本ナルコレプシー協会,1.7,1千万未満,1.3,74.8,0.2,1.1,0.0,0.4,1.7,1,2024,,東京都,保健・医療・福祉、社会教育、人権の擁護・平和、国際協力・交流
1862,特定非営利活動法人認知症予防ネット神戸,1.7,1千万未満,0.6,34.9,0.6,0.0,0.2,0.5,0.0,,2023,○,神戸市,保健・医療・福祉、まちづくり、人権の擁護・平和
1863,特定非営利活動法人アジア低炭素デザインセンター,1.7,1千万未満,0.0,0.8,0.0,0.0,1.7,0.0,1.7,10,2018,,北九州市,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、国際協力・交流、情報化社会、科学技術、NPO支援
1864,特定非営利活動法人まじゅんの会,1.7,1千万未満,0.0,2.5,0.0,0.0,0.1,1.6,1.7,3,2016,,沖縄県,まちづくり、環境の保全、子どもの健全育成、情報化社会、職業能力・雇用機会、NPO支援
1865,特定非営利活動法人　難聴者支援センター,1.7,1千万未満,1.7,99.9,1.7,0.0,0.0,0.0,1.5,,2024,○,群馬県,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、子どもの健全育成、科学技術、NPO支援
1866,特定非営利活動法人国際糖尿病教育学習研究所,1.7,1千万未満,1.7,100.0,0.9,0.8,0.0,0.0,2.1,1,2021,,神戸市,保健・医療・福祉、社会教育、国際協力・交流、NPO支援
1867,特定非営利活動法人メリーミーズ,1.7,1千万未満,1.7,99.9,1.7,0.0,0.0,0.0,0.9,,2024,○,大阪市,社会教育、子どもの健全育成、職業能力・雇用機会
1868,特定非営利活動法人 熱いぞ熊谷からの野球教室,1.7,1千万未満,1.2,69.5,0.2,0.9,0.5,0.0,2.1,,2024,○,埼玉県,社会教育、まちづくり、学術・文化・芸術・スポーツ、環境の保全、人権の擁護・平和、子どもの健全育成
1869,グリーフケア・サポートプラザ,1.7,1千万未満,1.4,81.9,0.9,0.5,0.1,0.2,2.2,,unknown,○,東京都,保健・医療・福祉、社会教育、NPO支援
1870,特定非営利活動法人子どもるーぷ袖ケ浦,1.7,1千万未満,1.4,83.0,0.4,0.9,0.1,0.1,1.6,0,2019,,千葉県,保健・医療・福祉、社会教育、まちづくり、学術・文化・芸術・スポーツ、子どもの健全育成
1871,ＷＩＴＨ,1.7,1千万未満,0.7,44.4,0.1,0.7,0.0,0.0,1.4,,2024,○,岐阜県,環境の保全、国際協力・交流、子どもの健全育成、職業能力・雇用機会、NPO支援
1872,特定非営利活動法人岸和田国際交流協会,1.6,1千万未満,0.0,2.6,0.0,0.0,0.0,1.6,1.4,2,2021,,大阪府,保健・医療・福祉、社会教育、学術・文化・芸術・スポーツ、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成
1873,認定特定非営利活動法人市民公益活動パートナーズ,1.6,1千万未満,0.5,28.2,0.4,0.0,0.0,1.2,4.9,,2024,○,福島県,NPO支援
1874,由良野の森,1.6,1千万未満,0.9,53.9,0.4,0.5,0.1,0.7,1.8,0,2018,,愛媛県,保健・医療・福祉、社会教育、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、国際協力・交流、子どもの健全育成
1875,えんのわ,1.6,1千万未満,0.1,3.1,0.0,0.0,0.0,1.6,1.7,,2019,,長野県,保健・医療・福祉、社会教育、まちづくり、観光、農山漁村・中山間地域、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、人権の擁護・平和、国際協力・交流、男女共同参画、子どもの健全育成、情報化社会、科学技術、経済活動の活性化、職業能力・雇用機会、消費者の保護、NPO支援
1876,双葉の露,1.6,1千万未満,0.5,30.3,0.0,0.5,0.2,0.8,1.5,,2023,○,北海道,社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、子どもの健全育成、NPO支援
1877,NPO法人　エコロジカル・ファーストエイド,1.6,1千万未満,1.6,100.0,1.5,0.1,0.0,0.0,0.0,1,2016,,徳島県,社会教育、まちづくり、観光、学術・文化・芸術・スポーツ、環境の保全、災害救援、地域安全、国際協力・交流、科学技術
